27,1293172,1987,末代皇帝,贝纳尔多·贝托鲁奇,"['尊龙', '陈冲', '邬君梅', '彼得·奥图尔']","['剧情', '传记', '历史']",英国 / 意大利 / 中国大陆 / 法国,163,9.3,869086
28,20495023,2017,寻梦环游记,李·昂克里奇,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫']","['喜剧', '动画', '音乐', '奇幻']",美国,105,9.1,1653443
29,1292365,1994,活着,张艺谋,"['葛优', '巩俐', '姜武', '牛犇']","['剧情', '家庭', '历史']",中国大陆 / 中国香港,132,9.3,832662
30,1851857,2008,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩']","['剧情', '动作', '科幻', '惊悚', '犯罪']",美国 / 英国,152,9.2,1042579
31,1295038,2001,哈利·波特与魔法石,克里斯·哥伦布,"['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '艾伦·瑞克曼']","['奇幻', '冒险']",美国 / 英国,152,9.2,1171296
32,1291552,2003,指环王3：王者无敌,彼得·杰克逊,"['伊利亚·伍德', '西恩·奥斯汀', '维果·莫腾森', '奥兰多·布鲁姆']","['剧情', '动作', '奇幻', '冒险']",美国 / 新西兰,201,9.3,792758
33,1300267,1939,乱世佳人,维克多·弗莱明,"['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔']","['剧情', '爱情', '历史', '战争']",美国,238,9.3,682413
34,26752088,2018,我不是药神,文牧野,"['徐峥', '王传君', '周一围', '谭卓']","['剧情', '喜剧']",中国大陆,117,9.0,2076014
35,21937452,2013,素媛,李濬益,"['薛景求', '严志媛', '李来', '金海淑']",['剧情'],韩国,122,9.3,678233
36,2129039,2009,飞屋环游记,彼特·道格特,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森']","['剧情', '喜剧', '动画', '冒险']",美国,96,9.1,1308044
37,1308807,2004,哈尔的移动城堡,宫崎骏,"['倍赏千惠子', '木村拓哉', '美轮明宏', '我修院达也']","['动画', '奇幻', '冒险']",日本,119,9.1,1009304
38,1293182,1957,十二怒汉,西德尼·吕美特,"['亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒', '李·科布']",['剧情'],美国,96,9.4,482785
39,30170448,2018,何以为家,娜丁·拉巴基,"['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德']",['剧情'],黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,126,9.1,1032051
40,26387939,2016,摔跤吧！爸爸,涅提·蒂瓦里,"['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那']","['剧情', '家庭', '传记', '运动']",印度,161(印度),9.0,1552140
41,3742360,2010,让子弹飞,姜文,"['姜文', '葛优', '周润发', '刘嘉玲']","['剧情', '喜剧', '动作', '西部']",中国大陆 / 中国香港,132,9.0,1677907
42,1291858,2000,鬼子来了,姜文,"['姜文', '香川照之', '袁丁', '姜宏波']","['剧情', '喜剧']",中国大陆,139,9.3,618876
43,1305487,2002,猫鼠游戏,史蒂文·斯皮尔伯格,"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛']","['剧情', '传记', '犯罪']",美国 / 加拿大,141 ,9.1,1007165
44,1929463,2012,少年派的奇幻漂流,李安,"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因']","['剧情', '奇幻', '冒险']",美国 / 中国台湾 / 英国 / 加拿大,127,9.1,1335259
45,25958717,2015,海蒂和爷爷,阿兰·葛斯彭纳,"['阿努克·斯特芬', '布鲁诺·冈茨', '昆林·艾格匹', '安娜·申茨']","['剧情', '家庭', '冒险']",德国 / 瑞士,111,9.3,597922
46,1296736,2002,钢琴家,罗曼·波兰斯基,"['艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基']","['剧情', '音乐', '传记', '战争']",英国 / 法国 / 波兰 / 德国,149,9.3,627942
47,1299398,1995,大话西游之月光宝盒,刘镇伟,"['周星驰', '吴孟达', '罗家英', '蓝洁瑛']","['喜剧', '爱情', '奇幻', '古装']",中国香港 / 中国大陆,88,9.0,1207675
48,1291583,1986,天空之城,宫崎骏,"['田中真弓', '横泽启子', '初井言荣', '寺田农']","['动画', '奇幻', '冒险']",日本,125,9.2,811509
49,1291572,2002,指环王2：双塔奇兵,彼得·杰克逊,"['伊利亚·伍德', '西恩·奥斯汀', '多米尼克·莫纳汉', '奥兰多·布鲁姆']","['剧情', '动作', '奇幻', '冒险']",美国 / 新西兰,180,9.2,742804
50,1298624,1992,闻香识女人,马丁·布莱斯特,"['阿尔·帕西诺', '克里斯·奥唐纳', '詹姆斯·瑞布霍恩', '加布里埃尔·安瓦尔']",['剧情'],美国,157 ,9.1,871990
51,1293839,1953,罗马假日,威廉·惠勒,"['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔']","['剧情', '喜剧', '爱情']",美国,118,9.1,939562
